idx,id,text
0,,"Football is the most popular women's sport in the country, and was first played in an organized system in 1998."
1,,"It has a small chapel and a cistern enclosed within the pillared cave, which is believed to be Buddhist."
2,,"While this species possesses the dark mask-like pattern across its eyes common to its genus, it is not ornately patterned like other maskrays."
3,,"The gods Brahma and Indra, with their mystic regalia and mounts, are shown to the right of Shiva; Vishnu, riding his mount Garuda, is shown to the left of Parvati."
4,,"Polish-German cooperation in cultural matters, such as joint public performances, was strictly prohibited."
5,,Her iron belt armor was removed and stronger steel armor was installed in its place.
6,,"The monuments of Toniná tend to be smaller than those at other Maya sites, with most of the stelae measuring less than 2 metres (6.6 ft) tall."
7,,He moved forward the next evening to a concealed position within easy reach of the monitors for an attack early the following morning.
8,,"The pectoral fin disc of the plain maskray is thin and diamond-shaped with narrowly rounded outer corners, measuring 1.1 – 1.3 times longer than wide."
9,,"Taken together, the album sales totalled an unprecedented 500,000 units, and became one of the top selling Bollywood soundtracks of the 1970s."
10,,"The change in coaching did not change the fortunes of the team, as they reached the All-Star break with a 13 – 30 – 6 record."
11,,"The writer also criticised Furtado's discussion of her buttocks and apparent rejection of feminism in a Blender magazine interview, writing:"" Girls, do you hear that churning?"
12,,"Exit 8 is also used to access Route 2 and I-95 south, which has no direct freeway connection with Route 4 north."
13,,This crake is in steep decline across much of its former breeding range because modern farming practices often destroy nests before breeding is completed.
14,,"On the first floor was the famous Sundial Room or Meridian Room, which was initially an open loggia."
15,,"A ruler known as Jaguar Bird Peccary is represented on a 6th-century stela, which describes him acceding to the throne in 568."
16,,"Local gods were linked with greater ones, and deities with similar functions were combined."
17,,"They were then placed in restraint positions, arrested, charged and held in custody for four days, including three days in HMP Bronzefield, before they were released on bail."
18,,"Townsend was inspired one morning while driving across Canada with his band, and looked to write an"" introspective"" album dedicated to his homeland."
19,,"Four allotropes of antimony are known: a stable metallic form and three metastable forms (explosive, black and yellow)."
20,,"There are four staffers dedicated to women's football in the Gambia Football Association, and representation of women on the board is required by the association's charter."
21,,"In 2008, she won the Golden Globe, Screen Actors Guild, and Emmy awards all in the category for Best Actress in a Comedy Series."
22,,He emptied the container of dirt he took from the Metrodome on the mound at Target Field before pitching.
23,,"Events and individuals connected with the war are ubiquitous on TV, on radio and in the print media."
24,,"He and his protégé at the time, Danja, co-produced eight of the tracks, with another produced solely by Danja."
25,,"The main cave (Cave 1, or the Great Cave) was a Hindu place of worship until Portuguese rule began in 1534, after which the caves suffered severe damage."
26,,"A second boat owned by the agency, the Diligence, was tethered at port in Wilmington and endured no damage; similarly, little impact occurred at New Bern."
27,,"He has since returned to his brother's dealership, serving as its general manager."
28,,"Certain male deities are given heavy bellies and breasts, signifying either androgyny or prosperity and abundance."
29,,"Dharmendra had begun wooing Malini during their earlier film Seeta Aur Geeta (1972), and used the location shoot of Sholay to further pursue her."
30,,The new museum was relocated to a historic building in the Little Rock River Market District.
31,,"Its initial move in this direction was to create Nos. 1 and 2 Groups to control units in Victoria and New South Wales, respectively."
32,,"As senior air commander in the region, Eaton sat on the Darwin Defence Co-ordination Committee."
33,,"In another trick, Ali swallowed three to six handkerchiefs of different hues and then produced them in a color order requested by audience members."
34,,"According to Dunnington,"" When I assumed command at this Post, all material had been removed to Arkadelphia."
35,,"He directed and played the lead role in the 1988 film Soorma Bhopali, in which Dharmendra and Bachchan had cameos."
36,,"The taxonomist is then unable to indicate any point of difference by which"" Astraeus"" may be separated from Geastrum, which indicates that the name should be discarded."
37,,"The hurricane produced strong gusts within the vicinity of New York City, and at Belleville, New Jersey, several peach trees were defoliated and uprooted."
38,,"In the first game, Jordan scored a Finals-record 35 points in the first half, including a record-setting six three-point field goals."
39,,"Sippy, said that he would sponsor a conversion of the film to 3D, and release it in late 2012; this was later postponed to late 2013, and eventually finalised for 3 January 2014."
40,,"Jordan finished among the top three in regular-season MVP voting a record 10 times, and was named one of the 50 Greatest Players in NBA History in 1996."
41,,"During their romantic scenes, Dharmendra would often pay the light boys to spoil the shot, thereby ensuring many retakes and allowing him to spend more time with her."
42,,"In late December 1861, banks and then the federal Treasury stopped paying out gold at face value."
43,,"This footage was also shown in Mira Wolf's documentary, The Zagreb Synagogue 1867-1942 (1996), produced by Croatian Radiotelevision."
44,,The deal also includes a $ 12.5 million club option for 2012 with a $ 2 million buyout.
45,,"Their focus was on the important naval base at Ancona, and later the coast of Montenegro."
46,,"Also described as a"" high maintenance"" female, she has been shown to dress constantly in a stylish manner."
47,,"Humans had free will to ignore divine guidance and the behavior required by maat, but by doing so they could bring divine punishment upon themselves."
48,,"He had always expected to become a car dealer after his hockey career, as his father, uncles and brother all worked in the industry."
49,,"The first is that the bodies of the dead were excarnated or exposed to the elements, followed by a secondary burial within the tomb."
50,,"Fey was born on May 18, 1970, in Upper Darby, Pennsylvania, a suburb of Philadelphia."
51,,The pilot training element is regarded by the GA community as a key benefit that is critical to the supply of pilots for the airline industry.
52,,"However, many of the war-weary sailors felt the operation would disrupt the peace process and prolong the war."
53,,"To help the Senators stop the Wanderers, who were known for their speed, Ross created a new system of defence."
54,,"During the war, Warsaw libraries lost about a million volumes, or 30 % of their collections."
55,,"Despite the gulf that separated humanity from the divine, the Egyptians were surrounded by opportunities to approach their gods."
56,,"It was developed by A-1 Pictures, produced by Shinji Motoyama, directed by Nobuhiro Kondō, and written by Hiroshi Ōnogi."
57,,"Eduard Seler and Caecilie Seler-Sachs investigated the monuments at Toniná, publishing their reports at the turn of the 20th century."
58,,"On January 19, 2000, Jordan returned to the NBA not as a player, but as part owner and President of Basketball Operations for the Washington Wizards."
59,,"Prior to the start of the 1927 – 28 season, the NHL adopted a new style of goal net created by Ross."
60,,"Ashbee further suggested that in subsequent centuries, locals raided the damaged Coldrum tomb for loamy chalk and stone, which was then re-used as building material."
61,,"Another uneventful operation followed on 17 – 18 April, and another three days later on 21 – 22 April."
62,,"He has also mixed and remixed work for other artists such as Rammstein, August Burns Red and Misery Signals."
63,,Ruler 2 established the use of in-the-round sculptural style that came to typify the stelae of Toniná.
64,,Egyptian deities are connected in a complex and shifting array of relationships.
65,,"He retired with 32,292 points in regular season play, placing him fourth on the NBA's all-time scoring list behind Kareem Abdul-Jabbar, Karl Malone, and Kobe Bryant."
66,,"The General Aviation Small Aerodrome Research Study (GASAR) analysed 687 aerodromes in England which come under the scope of GA, classifying 374 into six types."
67,,"In addition, there are 10,000 active glider pilots, and estimates put the membership of aviation-related sport and recreational associations at 36,000."
68,,"AE2 is made of the simple sugars mannose, glucose, and fucose in a 1: 2: 1 ratio."
69,,"The rays have an irregularly cracked surface, while the spore case is pale brown and smooth with an irregular slit or tear at the top."
70,,"A national competition was launched in 2007, the same year FIFA started an education course on football for women."
71,,"He was based in New Delhi when the city was rocked by sectarian violence, and attempted to help many of his Muslim staff members escape from the Hindu-majority city unharmed."
72,,"The Lightning assigned him to the IHL's Cleveland Lumberjacks, but also gave him the option of retiring and taking up a position as an assistant coach."
73,,"In the year 1996, Urania returns to the Dominican Republic for the first time since her departure at the age of 14."
74,,"Beginning in 1991, the archdiocese assigned Spanish-speaking priests to the parish, and both English- and Spanish-language services were offered."
75,,"Jordan won his first NBA Finals MVP award, and he cried while holding the NBA Finals trophy."
76,,Admiral Hugo von Pohl replaced him as commander of the fleet; von Pohl carried out a series of sorties with the High Seas Fleet throughout 1915.
77,,"Since the factors underlying these desiderata are at odds, tuning of the catalyst properties has proven difficult."
78,,"In the center, God the Father and Jesus are enthroned on a cloud; a stained-glass skylight at the top of the dome depicting the Holy Spirit completes the Trinity."
79,,"The offer was ultimately rescinded by the head of Roadrunner, who regarded Townsend's recordings as"" just noise""."
80,,"After Coleby who plays Roman quit the serial, James' time with the show was in doubt."
81,,"Although it was originally produced for NBC, it was eventually sold to Netflix and immediately renewed for a second season."
82,,The army officer was later changed to a policeman because Sippy felt that it would be difficult to get permission to shoot scenes depicting army activities.
83,,"Bannawit himself was later transferred from Defence Ministry Deputy Permanent Secretary to be a Chief Adviser of the Ministry, replaced by Chief Advisor General Toosarat Muang-am."
84,,"Ultimately, he ended his note by urging for the site to be protected under the Ancient Monuments Protection Act 1900."
85,,"The Ustaša quickly started with the systematic persecution of the Jews, modeled after the Nazi Germany approach, and at times even more brutal."
86,,They again advanced to the Eastern Conference Finals beating the Bucks and Philadelphia 76ers.
87,,"In 2015, she created and produced the television series Unbreakable Kimmy Schmidt, originally for NBC and eventually for Netflix."
88,,"His next feature was the romantic comedy-drama film Punch-Drunk Love (2002), starring Sandler, with Emily Watson portraying his love interest."
89,,In December 2011 all four Devin Townsend Project albums with additional material were released as the Contain Us box set.
90,,"Two Indian forest tribes, the Baiga and the Bharia of Madhya Pradesh, have been reported to use the fruit bodies medicinally."
91,,"Club vice-chairman Julian Tagg reported that the operation was successful, and that Stansfield appeared happy and was making jokes."
92,,""" There's Got to Be a Way"" is a song by American singer and songwriter Mariah Carey from her self-titled debut studio album (1990)."
93,,Recreational helicopter usage has grown primarily due to the introduction of smaller and cheaper aircraft.
94,,"These remains were examined by Sir Arthur Keith, the conservator of the museum at the Royal College of Surgeons."
95,,"Although Jordan has done much to increase the status of the game, some of his impact on the game's popularity in America appears to be fleeting."
96,,"The moralitas connects the wolf to the wicked man, the fox to the devil, and the husbandman to the godly man."
97,,"He described it as"" a highly orchestrated type of expansive music based in hard rock and heavy metal."
98,,"His slider is his best swing-and-miss pitch, with a whiff rate of 42 % since 2007."
99,,"After he died in England, his body was offered to Johns Hopkins University for study, though the offer was declined."
100,,"With the recognition that 2002 – 03 would be Jordan's final season, tributes were paid to him throughout the NBA."
101,,"Ross and Lester had a financially successful ticket resale business at the Montreal Arena, buying tickets for thirty-five cents and selling them for up to a dollar."
102,,"The one god was believed to transcend the world and all the other deities, while at the same time, the multiple gods were aspects of the one."
103,,Funerary texts that depict Ra's journey through the Duat also show the corpses of gods who are enlivened along with him.
104,,An associate of Anderson stated that the idea for the film had been in Anderson's head for about twelve years.
105,,"The forms in which the gods are shown, although diverse, are limited in many ways."
