idx,id,text
0,,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
1,,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
2,,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。
3,,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
4,,ツュレンハルト領は、ヴュルテンベルク領に編入された。
5,,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。
6,,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。
7,,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。
8,,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。
9,,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。
10,,構造は、鋼製の単一アーチで、橋脚は、石積みである。
11,,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。
12,,クィーンズアベニューアルファに所属している。
13,,一方で、漁業と商業で、リャネス港は繁栄していた。
14,,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。
15,,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。
16,,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。
17,,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。
18,,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。
19,,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。
20,,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。
21,,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。
22,,その飄々とした人柄が、老若男女に慕されている。
23,,現在、ニュージャージー州、ムーアズタウンに住んでいる。
24,,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。
25,,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻として与えられた。
26,,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。
27,,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。
28,,後者の代表が、ウェッジウッドの、ジャスパーウェアである。
29,,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。
30,,芸能プロダクション、アミューズのグループ企業。
31,,長母音を省略して、エリュシオンとも表記される。
32,,森永のおいしい牛乳は、濃い青色に、牛乳瓶をあしらったデザインの、パック牛乳である。
33,,番組冒頭を、東京ムービー製作のアニメーションで、表現する点も、共通していた。
34,,コミューンは、セーヌ川と、エソンヌ川の、合流地点となっている。
35,,同時に、福井ミラクルエレファンツに、コーチ兼任で、入団することが発表された。
36,,夫である小室が、救急車を呼び、都内病院に、緊急搬送される。
37,,ギレスピーは、マッギーを通じて、イネスと知り合った。
38,,フォンテーヌブロー様式では、寓意的な絵が、漆喰のモールドに使われている。
39,,祭神は、ヴィシュヌ派の聖人、スワーミーナーラーヤン。
40,,ハーデースが、ペルセポネーに恋をしたのは、アプロディーテーの、策略であるとされている。
41,,クウェーンバーンチャーンは、小さなコミュニティーで、農業や、商業を中心に、成り立っていたと、考えられている。
42,,ヴェーザー自転車道や、ミューレンルートに従った、サイクリングツアーは、ペータースハーゲンを、経由する。
43,,フォーミュラカーは、通常、オープンホイールで、シングルシーターである。
44,,同日朝に、大阪難波で、出発セレモニーが開催され、営業運転に、充当された。
45,,そして、インデペンデント紙の、読者投票で選ぶ、プレミアリーグ最優秀ゴールキーパーに選ばれた。
46,,プレイヤーキャラクターは、宮殿を占拠した、邪悪なクリーチャーに遭遇する。
47,,フィールドマーケティングは、歴史的には、一方通行のコミュニケーションツールとして、考えられてきた。
48,,デビュー後の数年間は、ベビーフェイスとして、本名で活動。
49,,学校や病院などの、給食業務で、栄養素を計算する上で、重要な資料のひとつである。
50,,当時、あやしいワールドに常駐していた擬古猫が、空白にて発表。
51,,ウォリアーズミックスマーシャルアーツアカデミー所属。
52,,ところが、エリュシクトーンは、ニュムペーの制止も聞かずに、デーメーテールの樫を、切り倒した。
53,,このジェシー役でステイモスは、エミー賞にノミネートされたこともある。
54,,スウェーデン移民の両親の許に、マサチューセッツ州、ケンブリッジにて生まれる。
55,,球宴のファン投票でも、人気が偶像化していた、長嶋茂雄に肉薄する。
56,,母は、ピーターマリッツバーグの精神病院に入院しているときに、ベッシーを産む。
57,,ポイントガードから、スモールフォワードまでこなせる、総合力が高いユーティリティープレーヤーである。
58,,グレッグは、ミシシッピ州、アバディーンにある、オッドフェローズ墓地に埋葬されることになった。
59,,大当たり終了後は、グラディエーターチャンスに突入する。
60,,この菌による病気は、灰色かび病と名づけられているものが多い。
61,,レギュラーメンバーの顔写真をクリックした後に、ムービープレイヤー風に再生されるという、特異な形式となっている。
62,,肝臓への酸素供給は、肝動脈と、低圧系の門脈を介して、行われている。
63,,デッドキーは、タイプライターや、コンピュータのキーボードにおける、特殊な装飾キーである。
64,,シャンシャン馬は、鵜戸神宮へ参拝する、新婚夫婦が乗っていた馬のこと。
65,,ブルーリッジ山脈の源流から、リッチモンドまで、多くの早瀬や淵が、釣りや急流くだりを楽しませてくれる。
66,,ボーハンは、イーストマンら、ギャングのスピークイージーの上がりから、賄賂を取っていたとも噂された。
67,,ペンシルベニア州、フィラデルフィアの郊外、ウィンレッドのレンキナウ病院で生まれた。
68,,ブラッグは、ビューエル軍よりも、劣勢だったために、この機会を生かすことを躊躇した。
69,,上院議員として、バーンウェルは、カリフォルニア州の、連邦加入に賛成した。
70,,レジェンドシリーズをベースに、ヨーフリー機構を備えた、ビューカメラ。
71,,楽曲のセンターポジションは、エーケービーフォーティーエイトの、高橋みなみが務めた。
72,,ディオニューソスの、寵愛を受ける、オイネウス王と、妃、アルタイアーの間に、カリュドーンの王女として、生を受けた。
73,,大西洋上の、巡航高度から、動力なしで、地上へ滑空飛行し、緊急着陸に成功した。
74,,表現行列の指標表を、分子の対称性を表す、点群の指標表を用いて、既約表現へ分解する。
75,,大洋漁業オーナーの、中部謙吉の命を受けて、プロ野球球団の、大洋ホエールズに関わる。
76,,かすかに聞こえてくる1931年版の讃美歌が、次第に大きくなっていく。
77,,モーイーデーン岩壁地域の上部は、プラーサートプラウィハーン寺院遺跡へ繋がる、タイ側参道に続いている。
78,,カーミラ星と呼ばれている惑星から、宇宙船に乗って、地球に侵入した宇宙人。
79,,ドッガーバンクは、タラやニシンの漁獲量が多い、重要な、漁場である。
80,,少年時代は、ロシア帝国、チェルニーヒウ県、プルィルークィ郡、トロスチャヌィーツァ村で過ごした。
81,,遺灰のほとんどは、スウェーデン西海岸の、ブーヒュースレーン地方の小島にある漁村、フヤルバッカ周辺の海に、散骨された。
82,,国境を越えて、列車は、改良された在来線に沿って、アーヘン中央駅に向かう。
83,,福岡ダイエーホークスではなく、長距離砲の補強を目指していた、大阪近鉄バファローズから、オファーを受けて入団。
84,,そこには、百ドル札と、アメリカに来いという、短いメッセージだけだった。
85,,現在は、バッハをモチーフとした、ハープシコードの作曲家として、記憶されている。
86,,戦闘服は、両腕を露出し、両脚が、アンダースーツで覆われている。
87,,同母姉に、スウェーデン王妃、ジョゼフィーヌがいる。
88,,紫外線は、表面エネルギーの、小さいポリマーを接着する際の、前処理に利用される。
89,,ジャガーとは対照的に、ボディービルダーを髣髴とさせる、マッチョな体育会系の外見が特徴。
90,,ペンシルベニア州、ピッツバーグの、アレゲーニー高校を卒業し、カリフォルニア大学、バークレー校に入学。
91,,この概念の導入によって、様々なバリエーションの、流体のコンピューターシミュレーションが、高い精度で可能となった。
92,,乾ドックに入渠して、オーバーホールすべきかどうか、パフォーマンスがチェックされた。
93,,デビューウェイトは、スーパーバンタム級ではなく、フェザー級だった。
94,,アーリーは、降雨の中を、南のバージニア州、ウィンチェスター近くの、フィッシャーズヒルまで、軍を退いた。
95,,今日の天気は晴れのち曇りで、午後から雨が降るでしょう。
96,,東京駅から新幹線に乗って、大阪まで約二時間半で到着します。
97,,日本の四季は、春夏秋冬それぞれに美しい景色を見せてくれます。
98,,図書館では、静かに本を読むことがマナーとされています。
99,,近年、人工知能の研究が急速に進んでおり、様々な分野で応用されています。
100,,富士山は、日本で最も高い山であり、世界文化遺産にも登録されている。
101,,桜の花が満開になると、多くの人々が花見を楽しみます。
102,,この問題を解決するためには、複数の視点からの検討が必要です。
103,,電車の中では、携帯電話の通話を控えるようお願いいたします。
104,,科学技術の発展により、私たちの生活は大きく変化しました。
105,,来週の月曜日に、新しいプロジェクトの会議が予定されています。
106,,環境問題に取り組むことは、現代社会の重要な課題のひとつです。
107,,この料理は、新鮮な野菜をたっぷり使った、健康的なメニューです。
108,,美術館に展示されている作品は、どれも見応えがあります。
109,,交通事故を防ぐために、安全運転を心がけましょう。
110,,古都京都には、数多くの歴史的な寺院や神社があります。
111,,外国語を習得するには、継続的な練習が欠かせません。
112,,この地域は、豊かな自然に恵まれた、美しい観光地です。
113,,会議の資料は、事前にメールで配布されますので、ご確認ください。
114,,日本語の敬語は、相手との関係性によって使い分ける必要があります。
115,,北海道は、広大な大地と豊かな自然が魅力の観光地です。
116,,災害に備えて、非常用の食料や水を準備しておくことが大切です。
117,,子どもたちは、公園で元気に遊んでいます。
118,,最新の研究によると、適度な運動は健康維持に効果的です。
119,,この映画は、実話に基づいた感動的な物語です。
120,,地球温暖化の影響で、異常気象が増加していると言われています。
121,,大学では、専門的な知識と技術を学ぶことができます。
122,,夏祭りでは、花火大会や盆踊りが行われます。
123,,食品の安全性を確保するため、厳格な品質管理が行われています。
124,,新しい駅ビルには、レストランやショップが多数入居しています。
125,,音楽は、人々の心を豊かにし、生活に彩りを添えてくれます。
126,,地方自治体は、住民の暮らしを支えるために様々な施策を行っています。
127,,読書は、知識を広げるだけでなく、想像力を養うことにもつながります。
128,,台風の接近に伴い、明日の午後から強風が予想されています。
129,,この技術は、医療分野での応用が期待されています。
130,,伝統工芸品は、職人の高い技術によって一つ一つ丁寧に作られています。
131,,インターネットの普及により、情報の入手が容易になりました。
132,,春になると、各地で桜が咲き始め、人々の目を楽しませてくれます。
133,,通勤ラッシュの時間帯は、電車が非常に混雑します。
